GeneId,GeneSym,mRNA concentrationa in AU/µg DCW at µ=0.10 h-1,mRNA concentrationa in AU/µg DCW at µ=0.20 h-1,mRNA concentrationa in AU/µg DCW at µ=0.40 h-1,mRNA concentrationa in AU/µg DCW at µ=0.63 h-1,mRNA half-lifea in min at µ=0.10 h-1,mRNA half-lifea in min at µ=0.20 h-1,mRNA half-lifea in min at µ=0.40 h-1,mRNA half-lifea in min at µ=0.63 h-1,Gene in Operonb?,Number of genes in operonb,Position in operonb,Gene is essentialc? ,COGd,Cell location of gene productd,length of ORFe in bp,%GC of ORF,length of 5'UTRf in bp,%GC of 5'UTR,length of ORF+5'UTR in bp,%GC of ORF+5'UTR,CAI of ORF,Protein with signal peptided?
b3911,cpxA,2167.07,3016.83,4274.98,4265.87,2.85,2.1,1.95,1.73,Yes,2,2,No,[T] Signal transduction mechanisms,Integral Membrane Protein,1374,0.55,462,0.55,1836,0.55,0.44,No
b3912,cpxR,6362.28,6399.55,9692.32,11208.92,2.26,2,1.85,1.32,Yes,2,1,No,[K] Transcription,Cytoplasmic,699,0.51,500,0.49,1199,0.51,0.42,No
b3915,fieF,1117.62,1777.74,2123.36,3334.33,3.75,2.56,2.37,2.05,No,1,NA,No,[P] Inorganic ion transport and metabolism,Integral Membrane Protein,903,0.52,179,0.45,1082,0.51,0.26,No
b3916,pfkA,7194.55,10416.66,17608.16,20544.01,2.18,1.87,1.69,1.72,No,1,NA,No,[G] Carbohydrate transport and metabolism,Cytoplasmic,963,0.53,80,0.42,1043,0.53,0.69,No
b3917,sbp,1140.71,1512.19,2988.21,3700.35,3.5,2.68,2.13,2.7,No,1,NA,No,[P] Inorganic ion transport and metabolism,Periplasmic,990,0.51,29,0.48,1019,0.51,0.49,No
b3919,tpiA,8438.87,10911.21,19728.9,20029.49,2.71,2.29,1.86,3.7,No,1,NA,No,[G] Carbohydrate transport and metabolism,Cytoplasmic,768,0.53,138,0.43,906,0.51,0.77,No
b3921,yiiR,453.65,551.54,660.32,1050.28,5.73,4.48,4.46,3.37,No,1,NA,No,[S] Function unknown,Integral Membrane Protein,441,0.49,NA,NA,NA,NA,0.32,No
b3922,yiiS,786.41,1135.49,1147.54,2650.36,6.06,7.49,9.03,3.61,Yes,2,1,No,[S] Function unknown,Cytoplasmic,300,0.46,620,0.46,920,0.46,0.37,No
b3924,fpr,1649.65,2255.81,2328.66,4134.87,3.21,2.57,2.6,2.09,No,1,NA,No,[C] Energy production and conversion,Unknown,747,0.54,NA,NA,NA,NA,0.32,No
b3925,glpX,455.59,665.95,1095.67,1344.98,6.61,4.74,3.72,3.26,Yes,3,3,No,[G] Carbohydrate transport and metabolism,Cytoplasmic,1011,0.57,24,0.38,1035,0.56,0.51,No
b3928,zapB,901.93,1105.28,1754.7,2016.73,4.25,3.56,4.05,2.83,No,1,NA,No,[S] Function unknown,Cytoplasmic,246,0.48,88,0.45,334,0.48,0.57,No
b3929,rraA,2605.85,2566.02,3917.35,5583.24,3.41,2.86,2.17,2.16,Yes,2,2,No,[H] Coenzyme transport and metabolism,Cytoplasmic,486,0.52,26,0.46,512,0.52,0.45,No
b3930,menA,1332.62,2085.56,3461.36,5856.05,3.57,2.42,1.82,1.61,Yes,2,1,No,[H] Coenzyme transport and metabolism,Integral Membrane Protein,927,0.53,58,0.4,985,0.53,0.34,No
b3931,hslU,3260.46,6864.07,9648.07,10152.72,2.41,1.81,1.61,2.49,Yes,2,2,No,"[O] Posttranslational modification, protein turnover, chaperones",Cytoplasmic,1332,0.53,213,0.52,1545,0.53,0.63,No
b3932,hslV,6583.43,9892.56,18053.18,20486.82,2.1,1.59,1.43,2.02,Yes,2,1,No,"[O] Posttranslational modification, protein turnover, chaperones",Cytoplasmic,531,0.53,61,0.48,592,0.52,0.52,No
b3933,ftsN,1721.29,2687.69,3252.28,3928.13,3.28,2.29,1.97,1.89,NA,NA,NA,Yes,"[D] Cell cycle control, cell division, chromosome partitioning",Membrane Anchored,960,0.57,185,0.5,1145,0.56,0.4,No
b3934,cytR,2111.07,2856.64,3393.96,4218.93,2.87,2.05,1.88,1.74,No,1,NA,No,[K] Transcription,Cytoplasmic,1026,0.52,54,0.52,1080,0.52,0.39,No
b3935,priA,261.11,414.31,640.61,549.67,7.88,5.31,4.42,5.19,No,1,NA,No,"[L] Replication, recombination and repair",Cytoplasmic,2199,0.57,26,0.42,2225,0.57,0.4,No
b3936,rpmE,3240.75,6106.87,9872.55,14956.35,5.49,5.58,5.83,3.04,No,1,NA,No,"[J] Translation, ribosomal structure and biogenesis",Cytoplasmic,213,0.49,100,0.5,313,0.5,0.8,No
b3938,metJ,2632.92,2218.75,4333.84,6803.41,2.92,2.49,1.86,1.59,No,1,NA,No,[E] Amino acid transport and metabolism,Cytoplasmic,318,0.52,369,0.46,687,0.49,0.49,No
b3939,metB,7588.91,6173.78,13358.2,17740.96,2.2,1.7,1.19,1.21,Yes,2,1,No,[E] Amino acid transport and metabolism,Unknown,1161,0.55,36,0.5,1197,0.55,0.4,No
b3940,metL,2846.3,3724.55,6643.71,6968.19,2.58,1.94,1.53,1.41,Yes,2,2,No,[E] Amino acid transport and metabolism,Cytoplasmic,2433,0.58,575,0.56,3008,0.58,0.47,No
b3941,metF,3691.19,5630.83,9058.58,14406.51,2.4,1.72,1.29,1.22,No,1,NA,No,[E] Amino acid transport and metabolism,Cytoplasmic,891,0.52,65,0.42,956,0.51,0.46,No
b3943,yijE,202.7,317.23,425.68,512.06,10.93,7.87,7.04,5.69,No,1,NA,No,NA,Integral Membrane Protein,906,0.54,612,0.55,1518,0.54,0.33,No
b3945,gldA,623.63,439.54,798.61,546.15,9.23,9.5,7.4,9.6,Yes,3,3,No,NA,Cytoplasmic,1104,0.55,NA,NA,NA,NA,0.54,No
b3946,fsaB,337.48,275.15,465.73,427.4,8.27,8.11,6.92,7.48,Yes,3,2,No,[G] Carbohydrate transport and metabolism,Unknown,663,0.53,NA,NA,NA,NA,0.42,No
b3951,pflD,283.04,306.43,345.72,243,7.06,7.16,7.5,10.35,Yes,2,1,No,[C] Energy production and conversion,Cytoplasmic,2298,0.53,NA,NA,NA,NA,0.41,No
b3952,pflC,214.4,217.4,291,227.03,8.2,9.08,7.93,9.98,Yes,2,2,No,NA,Cytoplasmic,879,0.55,NA,NA,NA,NA,0.35,No
b3953,frwD,53.04,79.03,97.65,83.97,25.67,20.5,21.25,25.07,No,1,NA,No,[G] Carbohydrate transport and metabolism,Periplasmic,342,0.56,NA,NA,NA,NA,0.36,No
b3954,yijO,407.9,686.99,982.48,1027.04,6.71,4.49,3.62,4.15,No,1,NA,No,[K] Transcription,Cytoplasmic,852,0.53,23,0.39,875,0.53,0.38,No
b3955,yijP,1618.04,3866.45,7152,13873.9,3.15,1.92,1.47,1.68,No,1,NA,No,[R] General function prediction only,Integral Membrane Protein,1734,0.5,325,0.46,2059,0.49,0.47,No
b3956,ppc,4215.62,8738.73,20337.6,23329.74,2.12,1.47,1.18,1.43,No,1,NA,No,[C] Energy production and conversion,Cytoplasmic,2652,0.56,89,0.51,2741,0.55,0.49,No
b3957,argE,3212.37,3108.35,5615.86,8145.51,2.59,2.4,2.06,2.76,No,1,NA,No,[E] Amino acid transport and metabolism,Cytoplasmic,1152,0.52,227,0.44,1379,0.5,0.37,No
b3958,argC,4589.69,3884.04,8031,14207.25,2.25,1.99,1.36,1.38,Yes,3,1,No,[E] Amino acid transport and metabolism,Cytoplasmic,1005,0.54,114,0.4,1119,0.52,0.41,No
b3959,argB,6215.68,6834.49,13196.11,19034.64,2.2,1.9,1.51,1.34,Yes,3,2,No,[E] Amino acid transport and metabolism,Cytoplasmic,774,0.56,385,0.55,1159,0.55,0.4,No
b3960,argH,7665.95,7500.25,18654.98,27221.49,2.13,1.87,1.38,1.29,Yes,3,3,No,[E] Amino acid transport and metabolism,Cytoplasmic,1374,0.56,435,0.57,1809,0.56,0.46,No
b3961,oxyR,4055.76,6298.71,8798.7,8641.59,2.45,2.37,2.21,3.8,No,1,NA,No,[K] Transcription,Cytoplasmic,918,0.55,33,0.52,951,0.55,0.45,No
b3962,sthA,5740.69,10159.86,13718.61,10092.61,2.12,1.6,1.37,1.44,No,1,NA,No,[C] Energy production and conversion,Cytoplasmic,1401,0.52,32,0.41,1433,0.52,0.45,No
b3963,fabR,3401.88,3024.6,5262.23,4059.53,2.48,2.21,1.8,1.93,Yes,2,1,No,[K] Transcription,Cytoplasmic,705,0.53,222,0.43,927,0.5,0.35,No
b3964,yijD,10283.13,9133.87,11875.54,7084.68,2.16,2.12,1.78,1.69,Yes,2,2,No,NA,Integral Membrane Protein,360,0.49,692,0.53,1052,0.52,0.48,No
b3965,trmA,2100.63,2583.08,4298.25,6698.56,3.08,2.38,1.77,1.6,No,1,NA,No,"[J] Translation, ribosomal structure and biogenesis",Cytoplasmic,1101,0.51,25,0.28,1126,0.5,0.45,No
b3966,btuB,2529.52,3278.3,5936.68,9182.1,2.79,2.17,1.88,2.54,Yes,2,1,No,[H] Coenzyme transport and metabolism,Periplasmic,1845,0.5,240,0.51,2085,0.5,0.39,Yes
b3967,murI,1048.6,1708.87,3386.4,4108.87,3.87,2.6,1.92,1.77,Yes,2,2,Yes,[M] Cell wall/membrane/envelope biogenesis,Unknown,858,0.52,382,0.48,1240,0.5,0.33,No
b3972,murB,1161.07,2085.16,2128.4,5345.06,3.55,2.3,2.24,1.67,Yes,2,1,Yes,[M] Cell wall/membrane/envelope biogenesis,Cytoplasmic,1029,0.46,23,0.43,1052,0.46,0.37,No
b3973,birA,1154.78,2672.07,2334.27,4143.76,3.54,2.08,2.13,1.78,Yes,2,2,Yes,[H] Coenzyme transport and metabolism,Unknown,966,0.49,611,0.47,1577,0.49,0.33,No
b3974,coaA,716.58,1395.01,1408.2,2794.14,4.5,2.86,2.74,2.05,No,1,NA,No,[H] Coenzyme transport and metabolism,Cytoplasmic,951,0.44,178,0.45,1129,0.44,0.34,No
b3981,secE,13165.13,18538.28,32677.75,35317.68,2.12,1.6,1.35,1.22,Yes,2,1,Yes,"[U] Intracellular trafficking, secretion, and vesicular transport",Integral Membrane Protein,384,0.55,181,0.45,565,0.52,0.43,No
b3982,nusG,3970.25,6237.7,12345.15,11492.38,2.55,1.9,1.5,1.64,Yes,2,2,Yes,[K] Transcription,Cytoplasmic,546,0.52,36,0.53,582,0.52,0.63,No
b3983,rplK,5507.01,8496.76,18539.8,24041.11,2.66,1.83,1.81,1.23,Yes,6,1,No,"[J] Translation, ribosomal structure and biogenesis",Cytoplasmic,429,0.52,93,0.42,522,0.5,0.74,No
b3984,rplA,23707.41,33115.37,67074.37,77301.2,3.06,2.08,2.36,1.38,Yes,6,2,No,"[J] Translation, ribosomal structure and biogenesis",Cytoplasmic,705,0.52,267,0.53,972,0.52,0.79,No
b3985,rplJ,30091.81,46358.64,78563,88646.51,3.7,2.7,3.17,3.53,Yes,6,3,Yes,"[J] Translation, ribosomal structure and biogenesis",Cytoplasmic,498,0.52,683,0.49,1181,0.5,0.69,No
b3986,rplL,19860.56,31429.41,52257.48,63352.02,3.28,2.64,2.8,3.42,Yes,6,4,Yes,"[J] Translation, ribosomal structure and biogenesis",Cytoplasmic,366,0.46,445,0.51,811,0.49,0.86,Yes
b3987,rpoB,9990.4,17211.54,32366.46,33362.56,3.77,3.33,3.32,3.43,Yes,6,5,Yes,[K] Transcription,Cytoplasmic,4029,0.53,551,0.48,4580,0.52,0.69,No
b3990,thiH,132.19,192.03,326.18,358.37,14.19,11.74,12.26,9.18,Yes,6,6,No,[H] Coenzyme transport and metabolism,Cytoplasmic,1134,0.55,406,0.62,1540,0.57,0.34,No
b3991,thiG,125.69,220.54,358.26,403.8,13.68,9.91,11.29,7.24,Yes,6,5,No,NA,Cytoplasmic,771,0.58,NA,NA,NA,NA,0.37,No
b3992,thiF,156.84,226.49,387.49,685.82,10.7,6.92,6.76,4.18,Yes,6,3,No,NA,Membrane Anchored,756,0.58,NA,NA,NA,NA,0.34,No
b3993,thiE,56.82,101.56,172.55,223.43,26.6,14.2,11.42,8.74,Yes,6,2,No,[H] Coenzyme transport and metabolism,Unknown,636,0.58,553,0.55,1189,0.57,0.35,No
b3994,thiC,109.01,196.06,329.08,509.23,14.85,9.11,6.9,5.3,Yes,6,1,No,[H] Coenzyme transport and metabolism,Cytoplasmic,1896,0.56,201,0.52,2097,0.55,0.45,No
b3995,rsd,1679.68,1358.13,1218.19,1300.01,3.41,3.17,3.71,3.12,No,1,NA,No,[K] Transcription,Cytoplasmic,477,0.49,521,0.49,998,0.49,0.36,No
b3996,nudC,3876.85,4397.31,9109.52,12332.44,2.38,1.85,1.43,1.51,Yes,3,1,No,NA,Cytoplasmic,774,0.53,217,0.45,991,0.51,0.35,No
b3997,hemE,2520.03,2992.66,7232.01,7371.34,2.63,2.09,1.61,1.75,Yes,3,2,No,[H] Coenzyme transport and metabolism,Cytoplasmic,1065,0.56,515,0.55,1580,0.56,0.46,No
b3998,nfi,882.54,1575.71,2406.66,3245.12,4.02,2.59,2.16,2.05,Yes,3,3,No,"[L] Replication, recombination and repair",Cytoplasmic,672,0.59,NA,NA,NA,NA,0.35,No
b3999,yjaG,582.39,1136.91,1971.96,3679.91,4.97,2.84,2.34,1.88,No,1,NA,No,[S] Function unknown,Cytoplasmic,591,0.49,24,0.33,615,0.48,0.42,No
b4000,hupA,18779.06,27810.01,34298.09,38922.03,4.67,6.38,5.4,5.21,No,1,NA,No,"[L] Replication, recombination and repair",Cytoplasmic,273,0.48,193,0.48,466,0.48,0.73,No
b4001,yjaH,235.8,438.12,474,559.56,9.09,5.42,6.07,5.24,No,1,NA,No,NA,Outer membrane Lipoprotein,696,0.53,268,0.5,964,0.52,0.35,No
b4002,zraP,98.26,147.84,375.09,284.01,21.79,17.12,12.67,9.7,No,1,NA,No,[N] Cell motility,Unknown,426,0.54,NA,NA,NA,NA,0.35,Yes
b4003,zraS,201.99,252.9,290.47,315.43,10.83,9.73,8.67,10,Yes,2,1,No,[T] Signal transduction mechanisms,Integral Membrane Protein,1398,0.54,NA,NA,NA,NA,0.33,No
b4004,zraR,478.63,521.81,985.03,992.17,5.8,4.57,3.35,3.75,Yes,2,2,No,[T] Signal transduction mechanisms,Cytoplasmic,1326,0.56,74,0.55,1400,0.56,0.37,No
b4005,purD,2034.96,3775.61,10121.28,11977,2.69,1.76,1.37,3.08,Yes,2,2,No,[F] Nucleotide transport and metabolism,Cytoplasmic,1290,0.58,662,0.58,1952,0.58,0.54,No
b4012,yjaB,132.82,165.01,203.06,200.34,14.21,11.36,12.57,12.62,No,1,NA,No,[K] Transcription,Cytoplasmic,444,0.55,NA,NA,NA,NA,0.29,No
b4013,metA,7502.87,5685.62,9277.03,14078.6,2.08,1.93,1.4,1.25,No,1,NA,No,[E] Amino acid transport and metabolism,Cytoplasmic,930,0.5,47,0.38,977,0.49,0.39,No
b4016,aceK,4064.46,4324.84,5090.62,3284.25,2.44,2.28,2.89,1.89,Yes,3,3,No,[T] Signal transduction mechanisms,Cytoplasmic,1737,0.53,605,0.54,2342,0.53,0.39,No
b4018,iclR,1284.98,1863.84,2605.75,3242.57,3.6,2.73,2.3,2.14,No,1,NA,No,[K] Transcription,Cytoplasmic,825,0.54,24,0.38,849,0.54,0.34,No
b4019,metH,4520.59,5196.01,9566.42,12190.88,2.26,1.75,1.58,1.38,No,1,NA,No,[E] Amino acid transport and metabolism,Cytoplasmic,3684,0.56,44,0.41,3728,0.56,0.48,No
b4020,yjbB,871.11,1011.01,1444.65,1400.44,4.06,3.29,2.86,3.46,No,1,NA,No,[P] Inorganic ion transport and metabolism,Integral Membrane Protein,1632,0.55,NA,NA,NA,NA,0.36,No
b4021,pepE,2809.95,3120.41,3126.98,1440.68,2.75,2.36,2.36,4.1,No,1,NA,No,[E] Amino acid transport and metabolism,Cytoplasmic,690,0.54,NA,NA,NA,NA,0.49,No
b4022,rluF,788.28,1601.11,1186.08,2317.98,4.57,2.79,3.12,2.61,No,1,NA,No,"[J] Translation, ribosomal structure and biogenesis",Cytoplasmic,873,0.52,NA,NA,NA,NA,0.41,No
b4023,yjbD,259.98,220.56,503.16,617.11,9.34,7.73,5.95,4.71,No,1,NA,No,NA,Cytoplasmic,273,0.49,54,0.56,327,0.5,0.37,No
b4024,lysC,3757.88,5315.64,13309.48,18843.82,2.37,1.75,1.3,1.14,No,1,NA,No,[E] Amino acid transport and metabolism,Cytoplasmic,1350,0.54,304,0.58,1654,0.55,0.45,No
b4025,pgi,13837.42,17263.44,32629.48,33011.43,2.01,1.65,1.37,1.43,No,1,NA,No,[G] Carbohydrate transport and metabolism,Unknown,1650,0.51,NA,NA,NA,NA,0.61,No
b4033,malF,8368.5,11071.11,11536.28,2727.45,1.88,1.63,1.89,2.08,Yes,3,2,No,[G] Carbohydrate transport and metabolism,Integral Membrane Protein,1545,0.53,234,0.56,1779,0.54,0.42,No
b4034,malE,24707.16,27646.63,28578.45,9074.75,5.63,11.19,8.26,6.67,Yes,3,1,No,[G] Carbohydrate transport and metabolism,Periplasmic,1191,0.51,45,0.42,1236,0.51,0.59,Yes
b4035,malK,9901.44,11723.89,12956.67,2896.6,1.82,1.53,1.49,2.17,Yes,3,1,No,[G] Carbohydrate transport and metabolism,Cytoplasmic,1116,0.55,354,0.49,1470,0.53,0.45,No
b4037,malM,17832.79,24483.47,36976.01,8481.47,3.11,4.07,4.98,2.83,Yes,3,3,No,NA,Periplasmic,921,0.53,NA,NA,NA,NA,0.42,Yes
b4039,ubiC,781.67,1009.63,729.4,1013.97,4.52,3.47,4.23,3.83,Yes,2,1,No,NA,Cytoplasmic,498,0.53,24,0.5,522,0.53,0.29,No
b4040,ubiA,3866.66,3585.17,4071.15,4953.32,2.5,2.04,1.96,1.61,Yes,2,2,Yes,[H] Coenzyme transport and metabolism,Integral Membrane Protein,873,0.52,374,0.52,1247,0.52,0.32,No
b4041,plsB,2292.3,2918.88,3804.68,3802.77,3.04,2.16,1.92,2,No,1,NA,Yes,NA,Cytoplasmic,2424,0.55,316,0.48,2740,0.54,0.44,No
b4042,dgkA,2557.08,3561.21,5681.37,6486.66,2.72,1.99,1.61,1.51,No,1,NA,No,[M] Cell wall/membrane/envelope biogenesis,Integral Membrane Protein,369,0.52,180,0.45,549,0.5,0.37,No
b4043,lexA,2440.51,3641.36,4497.6,4869.37,2.7,2.02,1.78,1.66,Yes,2,1,Yes,[K] Transcription,Cytoplasmic,609,0.52,28,0.5,637,0.52,0.45,No
b4044,dinF,345.06,608.01,772.55,1052.69,7.04,4.83,3.89,3.62,Yes,2,2,No,[V] Defense mechanisms,Integral Membrane Protein,1380,0.56,327,0.49,1707,0.54,0.32,No
b4045,yjbJ,198.47,325.13,317.84,348.7,10.88,6.61,7.52,6.91,No,1,NA,No,[S] Function unknown,Cytoplasmic,210,0.42,58,0.4,268,0.42,0.62,No
b4046,zur,646.78,933.01,1207.81,1023.37,4.81,3.61,3.28,4,No,1,NA,No,NA,Cytoplasmic,516,0.52,28,0.54,544,0.52,0.42,No
b4049,dusA,1106.64,1717.95,2525.13,2947.68,3.95,2.72,2.17,2.33,No,1,NA,No,"[J] Translation, ribosomal structure and biogenesis",Cytoplasmic,1038,0.54,78,0.33,1116,0.52,0.41,No
b4050,pspG,233.62,442.01,518.04,452.01,19.12,9.51,8.32,7.73,No,1,NA,No,NA,Integral Membrane Protein,243,0.5,646,0.52,889,0.52,0.35,No
b4051,qorA,5890.62,4377.55,5598.89,6009.05,3.33,3.38,3.17,2.63,No,1,NA,No,[C] Energy production and conversion,Unknown,984,0.53,NA,NA,NA,NA,0.39,No
b4052,dnaB,1337.1,2354.96,3603.98,5854.92,3.59,2.35,1.88,1.72,No,1,NA,Yes,"[L] Replication, recombination and repair",Cytoplasmic,1416,0.54,28,0.36,1444,0.53,0.46,No
b4053,alr,388.63,780.47,1300.18,1563.48,6.06,3.37,2.76,2.51,No,1,NA,No,[M] Cell wall/membrane/envelope biogenesis,Cytoplasmic,1080,0.56,610,0.51,1690,0.54,0.41,No
b4054,tyrB,2540.18,4476.91,6084.73,5952.5,2.55,2.04,1.83,5.65,No,1,NA,No,[E] Amino acid transport and metabolism,Cytoplasmic,1194,0.53,32,0.59,1226,0.53,0.36,No
b4055,aphA,410.42,637.64,472.18,323.82,6.3,5.18,8.36,8.84,No,1,NA,No,[R] General function prediction only,Periplasmic,714,0.49,NA,NA,NA,NA,0.38,Yes
b4056,yjbQ,4848.74,3919.3,5158.48,5969.9,2.43,2.43,2.25,1.63,Yes,2,1,No,[S] Function unknown,Cytoplasmic,417,0.52,230,0.51,647,0.52,0.33,No
b4057,yjbR,1420.47,1268.72,1842.26,1533.01,3.45,3.22,2.88,2.73,Yes,2,2,No,[S] Function unknown,Cytoplasmic,357,0.5,346,0.53,703,0.52,0.42,No
b4058,uvrA,1097.55,1306.68,2133.72,1685.1,3.52,2.96,2.65,3.27,No,1,NA,No,"[L] Replication, recombination and repair",Cytoplasmic,2823,0.56,62,0.53,2885,0.56,0.47,No
b4059,ssb,685.2,953.11,1335.12,1108.73,4.65,3.25,2.95,3.36,No,1,NA,Yes,"[L] Replication, recombination and repair",Cytoplasmic,537,0.58,42,0.36,579,0.56,0.68,No
b4060,yjcB,135,299.75,410.13,390.9,13.74,7.21,6.31,7.05,No,1,NA,No,NA,Integral Membrane Protein,282,0.52,128,0.5,410,0.52,0.32,No
b4062,soxS,2702.55,2066.73,2352.55,3328.27,3.23,2.78,2.79,2.45,No,1,NA,No,[K] Transcription,Cytoplasmic,324,0.51,NA,NA,NA,NA,0.4,No
b4063,soxR,280.37,270.98,383.02,501.94,7.9,6.78,6.26,5.3,No,1,NA,No,[K] Transcription,Unknown,465,0.52,686,0.5,1151,0.51,0.32,No
b4064,yjcD,5244.2,10047.73,19873.88,26305.71,2.08,1.54,1.11,1.53,No,1,NA,No,[R] General function prediction only,Integral Membrane Protein,1350,0.56,459,0.44,1809,0.53,0.47,No
b4065,yjcE,1460.96,2080.81,4330.48,4816.43,3.39,2.43,1.68,1.75,No,1,NA,No,[P] Inorganic ion transport and metabolism,Integral Membrane Protein,1650,0.56,311,0.49,1961,0.55,0.38,No
b4068,yjcH,27033.46,15505.68,10430.81,2184.27,6.19,4.98,7.21,7.58,Yes,3,2,No,[S] Function unknown,Integral Membrane Protein,315,0.49,NA,NA,NA,NA,0.32,No
b4069,acs,40328.62,39974.32,37269.29,12126.91,8,10.42,8.42,5.86,Yes,3,1,No,[I] Lipid transport and metabolism,Cytoplasmic,1959,0.57,19,0.42,1978,0.57,0.49,No
b4077,gltP,2142.42,4386.83,9219.68,7788.29,3.3,3.27,3.52,2.2,No,1,NA,No,[C] Energy production and conversion,Integral Membrane Protein,1314,0.53,108,0.47,1422,0.53,0.44,No
b4078,yjcO,1180.96,1755.4,1631.96,1413.16,3.69,2.65,2.49,3.05,No,1,NA,No,[R] General function prediction only,Periplasmic,690,0.5,24,0.38,714,0.49,0.42,No
b4079,fdhF,683.55,500.92,767.43,561.26,6.38,5.92,4.39,4.74,No,1,NA,No,[C] Energy production and conversion,Cytoplasmic,2148,0.54,NA,NA,NA,NA,0.53,No
b4084,alsK,937.35,922.37,1686.67,1292.98,4.09,4.41,3.76,3.74,No,1,NA,Yes,[G] Carbohydrate transport and metabolism,Cytoplasmic,930,0.55,298,0.51,1228,0.54,0.34,No
b4085,alsE,604.19,674.4,945.76,748.23,4.93,5.02,5.08,5.66,Yes,5,5,No,[G] Carbohydrate transport and metabolism,Cytoplasmic,696,0.49,NA,NA,NA,NA,0.47,No
b4086,alsC,261.75,200.79,271.9,165.22,7.27,8.45,8.98,14.21,Yes,5,4,No,[G] Carbohydrate transport and metabolism,Integral Membrane Protein,981,0.52,625,0.51,1606,0.52,0.39,No
b4088,alsB,295.54,382.29,250.49,182.09,8.12,7.09,12.76,10.9,Yes,5,2,No,[G] Carbohydrate transport and metabolism,Unknown,936,0.49,NA,NA,NA,NA,0.44,Yes
b4089,rpiR,1355.37,1350.64,1678.81,2925.97,3.47,3,2.85,2.11,Yes,5,1,No,NA,Cytoplasmic,891,0.47,28,0.43,919,0.47,0.32,No
b4090,rpiB,383.1,456.24,581.33,363.56,6.18,5.13,5.75,6.42,No,1,NA,No,[G] Carbohydrate transport and metabolism,Unknown,450,0.5,NA,NA,NA,NA,0.32,No
b4093,phnO,267.54,244.79,395.97,319.85,8.04,7.26,6.44,7.19,Yes,15,NA,No,[K] Transcription,Cytoplasmic,435,0.58,NA,NA,NA,NA,0.47,No
b4094,phnN,51.28,84.03,128.42,106.97,28.48,18.3,15.87,22.67,Yes,15,NA,No,[P] Inorganic ion transport and metabolism,Cytoplasmic,558,0.6,NA,NA,NA,NA,0.36,No
b4108,yjdM,2921.94,3263.47,9092.02,9809.42,3.31,2.87,3.17,3.22,No,1,NA,No,[P] Inorganic ion transport and metabolism,Cytoplasmic,336,0.46,61,0.48,397,0.47,0.69,No
b4109,yjdA,1898.86,2111.16,3703.16,3653.64,2.78,2.22,1.97,1.77,Yes,2,1,No,[R] General function prediction only,Cytoplasmic,2229,0.51,NA,NA,NA,NA,0.32,No
b4110,yjcZ,1428.67,8761.73,21899.2,19884.47,3.27,1.6,1.21,1.15,Yes,2,2,No,NA,Cytoplasmic,879,0.57,651,0.5,1530,0.54,0.31,No
b4111,proP,616.18,1685.89,5635.18,9695.94,5.02,2.62,1.75,1.4,No,1,NA,No,[E] Amino acid transport and metabolism,Integral Membrane Protein,1503,0.5,182,0.52,1685,0.51,0.41,No
b4112,basS,504.5,620.31,800.64,933.03,5.23,3.78,3.75,3.45,Yes,2,2,No,[T] Signal transduction mechanisms,Integral Membrane Protein,1092,0.54,312,0.52,1404,0.54,0.32,No
b4113,basR,1288.12,1648.26,1771.21,2108.71,3.49,2.78,2.76,2.54,Yes,2,1,No,[K] Transcription,Cytoplasmic,669,0.53,341,0.46,1010,0.51,0.38,No
b4114,eptA,85.12,110.82,160.4,244.42,17.57,11.81,11.07,8.6,No,1,NA,No,[R] General function prediction only,Integral Membrane Protein,1644,0.49,NA,NA,NA,NA,0.38,No
b4117,adiA,69.94,101.08,144.84,156.33,23.86,15.57,13.01,16.87,No,1,NA,No,[E] Amino acid transport and metabolism,Cytoplasmic,2268,0.53,665,0.45,2933,0.51,0.5,No
b4118,melR,584.06,684.89,539.96,573.41,5.53,4.5,5.48,6.1,No,1,NA,No,[K] Transcription,Cytoplasmic,909,0.5,22,0.5,931,0.5,0.4,No
b4119,melA,1874.94,1103.98,931.4,434.87,3.93,4.95,6.66,8.11,Yes,2,1,No,[G] Carbohydrate transport and metabolism,Cytoplasmic,1356,0.52,NA,NA,NA,NA,0.41,No
b4121,yjdF,497.91,554.19,1006.94,1032.55,5.8,4.54,3.4,3.45,No,1,NA,No,[S] Function unknown,Integral Membrane Protein,630,0.55,NA,NA,NA,NA,0.29,No
b4122,fumB,364.86,438.46,709.01,488.23,7.18,7.05,7.18,7.22,Yes,2,2,No,[C] Energy production and conversion,Cytoplasmic,1647,0.55,472,0.54,2119,0.55,0.56,No
b4123,dcuB,152.2,121.76,160.23,190.96,14.04,21.05,17.92,15.15,Yes,2,1,No,[R] General function prediction only,Integral Membrane Protein,1341,0.52,NA,NA,NA,NA,0.48,No
b4124,dcuR,1573.21,1153.12,1237.1,1540.48,3.18,2.92,3.59,2.66,Yes,2,2,No,[K] Transcription,Cytoplasmic,720,0.49,518,0.5,1238,0.5,0.38,No
b4129,lysU,1164.37,1331.56,2237.91,3276.94,4.99,5.08,4.26,4.46,No,1,NA,No,"[J] Translation, ribosomal structure and biogenesis",Cytoplasmic,1518,0.47,19,0.37,1537,0.47,0.5,No
